/rdsdbbin/mysql/bin/mysqld, Version: 8.0.20 (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-10-31T14:34:44.431256Z	    7 Connect	rdsadmin@localhost on  using TCP/IP
2020-10-31T14:34:44.431549Z	    7 Query	/* mysql-connector-java-8.0.13-bin (Revision: ${revinfo.commit}) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
2020-10-31T14:34:44.432489Z	    7 Query	SET NAMES utf8mb4
2020-10-31T14:34:44.432613Z	    7 Query	SET character_set_results = NULL
2020-10-31T14:34:44.432822Z	    7 Query	SET autocommit=1
2020-10-31T14:34:44.433010Z	    7 Query	SET sql_mode='NO_ENGINE_SUBSTITUTION,STRICT_TRANS_TABLES'
2020-10-31T14:34:44.433151Z	    7 Query	SHOW WARNINGS
2020-10-31T14:34:44.434322Z	    7 Query	SELECT 1
2020-10-31T14:34:44.434761Z	    7 Query	set @@session.binlog_format='STATEMENT'
2020-10-31T14:34:44.435396Z	    7 Query	set @@session.transaction_isolation='REPEATABLE-READ'
2020-10-31T14:34:44.435928Z	    7 Query	set @@session.time_zone='UTC'
2020-10-31T14:34:44.436319Z	    7 Query	set @@session.autocommit=1
2020-10-31T14:34:44.436745Z	    7 Query	SELECT 1
2020-10-31T14:34:44.437151Z	    7 Query	SELECT 1
2020-10-31T14:34:44.438264Z	    7 Query	SELECT 1
2020-10-31T14:34:44.438661Z	    7 Query	SELECT 1
2020-10-31T14:34:49.398199Z	    7 Query	SELECT 1
2020-10-31T14:34:49.398774Z	    7 Query	SELECT 1
2020-10-31T14:34:49.399488Z	    7 Query	SELECT 1
2020-10-31T14:34:49.400056Z	    7 Query	SELECT count(*) from information_schema.TABLES WHERE TABLE_SCHEMA = 'mysql' AND TABLE_NAME = 'rds_heartbeat2'
2020-10-31T14:34:49.407063Z	    7 Query	SELECT 1
2020-10-31T14:34:49.407500Z	    7 Query	SELECT value FROM mysql.rds_heartbeat2
2020-10-31T14:34:49.416628Z	    7 Query	SELECT 1
2020-10-31T14:34:49.417068Z	    7 Query	SELECT @@GLOBAL.read_only
2020-10-31T14:34:53.113896Z	    7 Query	SELECT 1
2020-10-31T14:34:53.114396Z	    7 Query	SELECT 1
2020-10-31T14:35:00.022743Z	    7 Query	SELECT 1
2020-10-31T14:35:00.116085Z	    7 Query	SHOW GLOBAL VARIABLES LIKE 'mysql_cipher_stats_flush_period_in_seconds'
2020-10-31T14:35:00.273468Z	    7 Query	SELECT 1
2020-10-31T14:35:00.274098Z	    7 Query	SELECT @@session.transaction_read_only
2020-10-31T14:35:00.274363Z	    7 Query	flush logs
/rdsdbbin/mysql/bin/mysqld, Version: 8.0.20 (Source distribution). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-10-31T14:35:00.384600Z	    7 Query	SELECT 1
2020-10-31T14:35:00.395801Z	    7 Query	SELECT count(*) from mysql.rds_history WHERE action = 'disable set master' GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port,master_user,master_log_file ,master_log_pos,master_ssl ORDER BY action_timestamp LIMIT 1
2020-10-31T14:35:00.432945Z	    7 Query	SELECT 1
2020-10-31T14:35:00.433422Z	    7 Query	SELECT count(*) from mysql.rds_replication_status WHERE master_host IS NOT NULL and master_port IS NOT NULL GROUP BY action_timestamp,called_by_user,action,mysql_version,master_host,master_port ORDER BY action_timestamp LIMIT 1
2020-10-31T14:35:01.378843Z	    8 Connect	rdsrepladmin@172.31.3.142 on  using TCP/IP
2020-10-31T14:35:01.389962Z	    8 Query	SELECT UNIX_TIMESTAMP()
2020-10-31T14:35:01.401535Z	    8 Query	SELECT @@GLOBAL.SERVER_ID
2020-10-31T14:35:01.412591Z	    8 Query	SET @master_heartbeat_period= 30000001024
2020-10-31T14:35:01.423767Z	    8 Query	SET @master_binlog_checksum= @@global.binlog_checksum
2020-10-31T14:35:01.434874Z	    8 Query	SELECT @master_binlog_checksum
2020-10-31T14:35:01.446067Z	    8 Query	SELECT @@GLOBAL.GTID_MODE
2020-10-31T14:35:01.457221Z	    8 Query	SELECT @@GLOBAL.SERVER_UUID
